nrofstudents2,nrofstudents,school
10,10,Oregon Institute of Technology
0,15,Idaho State University
,0,Universitat de les Illes Balears
,0,IFIMUP-IN Institute of Nanosciences and Nonotechnology
,0,Univeristy of California - Berkeley
,0,Griffith University
0,22,University of Wales Swansea
50,100,Universite de Liege
,60,Ghent University (UGent)
0,60,Niagara College of Applied Arts and Technology
25,35,Michigan Technological University
,3,Indian Institute of Technology Delhi
,0,Texas State Technical College
,20,Queensland University of Technology
0,41,University of Michigan
150,100,Abbe School of Photonics
,2,Benemerita Universidad Autonoma de Puebla
,70,Aston University
250,250,"Hochschule Darmstadt, University of Applied Sciences"
10,10,Delft University of Technology
0,67,California Polytechnic State University
100,30,Koc University
12,6,Rutgers University
90,20,University of Warsaw
198,109,Kazan National Research Technical University
,2000,HuaZhong University of Science and Technology
80,80,University of Calcutta
20,20,"Indian Institute of Technology, Madras"
0,4,Universidad Nacional de Rosario
,18,Universidad Industrial de Santander
150,40,Friedrich-Alexander-University Erlangen-Nuremberg
45,39,Air Force Institute of Technology
60,15,Cork Institute of Technology
40,10,Portland State University
90,60,Capital Normal University
150,20,"National University of Ireland, Galway"
,0,University of California at Riverside
10,0,Hamamatsu University
60,60,University of Virginia
nrofstudents2,nrofstudents,school
,6,Delft University of Technology
30,20,Monroe Community College
,405,"Binghamton University, State University of New York"
,0,Griffith University
0,22,University of Wales Swansea
25,35,Michigan Technological University
45,39,Air Force Institute of Technology
50,30,Universitaet Leipzig
60,40,University of Dundee
,,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology
10,0,Hamamatsu University
40,20,University of Hong Kong
,,University of Eastern Finland
50,320,Ivan Franko Lviv National University
120,120,Tel Aviv University
,0,Georgian Technical University
15,275,Boise State University
55,20,"Indian Institute of Technology, Bombay"
50,20,Guru Jambheshwar University of Science and Technology
600,80,University of Illinois
15,0,University of Miami
0,5,Shanghai Jiao Tong University
0,0,Yerevan State University
0,33,South Dakota State University
150,20,"National University of Ireland, Galway"
,2000,HuaZhong University of Science and Technology
0,50,Uppsala University
,0,University of California at Riverside
80,80,University of Calcutta
12,6,Rutgers University
20,20,"Indian Institute of Technology, Madras"
0,4,Universidad Nacional de Rosario
114,48,Valencia Community College
,18,Universidad Industrial de Santander
60,10,Universidade Federal do Rio Grande do Sul
0,15,The University of Adelaide
470,250,Chung Yuan Christian University
25,25,Texas A&M University
1136,120,Povolzhskaya State Academy of Telecommunication and Informatics
120,15,Harz University of Applied Sciences
,20,Queensland University of Technology
,2,Benemerita Universidad Autonoma de Puebla
,70,Aston University
250,250,"Hochschule Darmstadt, University of Applied Sciences"
9,9,California State University at Fullerton
10,10,Delft University of Technology
100,30,Koc University
150,40,Friedrich-Alexander-University Erlangen-Nuremberg
10,15,Technical University Berlin - Institute of Optics
30,5,Southern Illinois University Edwardsville
,3,Indian Institute of Technology Delhi
198,109,Kazan National Research Technical University
200,30,"Engineering School of Communication of Tunis (Sup'Com), Univ. of Carthage"
40,10,Portland State University
30,30,University of Madras
60,60,ICFO - The Institute of Photonic Sciences
20,80,Duke University
,150,Taras Shevchenko National University of Kyiv
,3,Kitasato University School of Allied Health Sciences
15,10,University of Jena
30,15,King Abdullah University of Science & Technology (KAUST)
20,6,"National University of Colombia, Medellin Branch"
,80,Nanjing University of Science and Technology
,16,University of Waterloo
0,0,Columbia University
15,20,University of Sydney - School of Physics
,12,Carnegie Mellon University
60,15,Cork Institute of Technology
60,60,University of Virginia
90,60,Capital Normal University
25,25,Indian Hills Community College
40,10,Universidad de Buenos Aires
90,12,Ryerson University
50,30,Royal Institute of Technology
15,15,Aalborg University
50,100,Universite de Liege
,60,Ghent University (UGent)
0,60,Niagara College of Applied Arts and Technology
100,100,University Politehnica of Bucharest
90,20,University of Warsaw
,15,Missouri University of Science and Technology
30,25,State Engineering University of Armenia
700,400,Universidad de Granada
0,0,Southern Methodist University
0,67,California Polytechnic State University
150,150,Universite Laval
,0,University of Maryland Baltimore County
477,0,Acharya Narendra Dev College
0,0,Universitat Autonoma de Barcelona
,0,National Taipei University of Technology
,15,Tohoku University
,250,Technical University Hamburg-Harburg
20,20,Imperial College London
150,30,Arizona State University
30,15,Vanderbilt University
0,20,Pontificia Universidad Católica del Perú
0,0,University of Latvia
100,100,University of Pannonia
,,Pontificia Universidad Católica de Chile
0,20,West Virginia University
27,15,University of Toronto
15,46,Australian National University
15,25,Wesleyan University
,0,Univeristy of California - Berkeley
100,250,University of Texas at Arlington
0,50,Northumbria University
6,6,Kuwait Institute for Scientific Research
0,30,Central Carolina Community College
15-20,15,Cranfield University
,2,Glyndwr University
,700,Universitat de Valencia
296,296,National Central University
,140,Polytech'Paris-Sud
0,2,Technion -- Israel Institute of Technology
,2,"Technical University of Denmark - Physics, Optics Group"
,100,Princeton University - Princeton Institute for the Science and Technology of Materials
,2,Nanyang Technological University
15,10,Tufts University
800,20,University Complutense of Madrid
,18,"University of Bern, Institute of Applied Physics"
,24,Fisk University
,33,University of Central Oklahoma
200,10,Heilbronn University
,45,Universidade de Santiago de Compostela
10,8,Masdar Institute of Science and Technology
5,2,Northwestern Michigan College
5,5,Yamagata University
0,210,Fudan University - School of Information Science and Engineering
,139,Cornell University
60,100,Bialystok University of Technology
0,0,University Jean Monnet
,0,Texas State Technical College
10,10,Oregon Institute of Technology
150,100,Abbe School of Photonics
200,100,Virginia Tech - Center for Photonics Technology
0,15,Idaho State University
60,40,Anna University
,50,Lulea University of Technology
0,705,University of Massachusetts/Lowell - Electrical and Computer Engineering
70,70,University of Southampton
60,42,University of North Carolina at Charlotte
,,Osaka University
,0,Universitat de les Illes Balears
0,41,University of Michigan
0,440,"University of Texas, El Paso"
,3,National Tsing Hua University
,302,National Technical University of Ukraine
,3,Kansai University
,60,University of Nevada at Las Vegas
,25,University of Missouri/Columbia
0,100,University of California at Santa Barbara
200,50,Lobachevsky State University of Nizhniy Novgorod
60,30,University of Oldenburg
,320,Princeton University - Electrical Engineering
0,40,Centro de Investigacion Cientifica y de Educacion Superior de Ensenada
,0,"University of Karachi, Pakistan"
,0,IFIMUP-IN Institute of Nanosciences and Nonotechnology
30,30,Illinois Institute of Technology
50,35,Colorado State University
0,65,Stanford University - Applied Physics
40,15,Technical University of Denmark - DTU Fotonik
,0,Baylor University
,0,Multimedia University
50,25,Samara State Aerospace University
100,70,National Yang-Ming University
,0,Florida Institute of Technology
